X151.2	X151.3	X151.4	X151.5	X152.2	X152.3	X152.4	X152.5	X153.2	X153.3	X154.2	X154.3	X154.4	X154.5	X156.2	X156.3	X156.4	X156.5	X157.2	X157.3	X157.4	X158.2	X158.3	X158.4	X158.5	X159.2	X159.3	X160.2	X160.3	X160.4	X160.5	X161.2	X161.3	X161.4	X161.5	X163.2	X163.3	X163.4	X163.5	X164.2	X164.4	X164.5	X165.2	X165.3	X165.5	X166.2	X166.3	X166.4	X166.5	X167.3.1	X167.3.2	X167.4	X167.5	X168.2	X168.3	X168.4	X168.5	X169.3	X169.4	X169.5	X170.2	X170.3	X170.4	X170.5	X171.2	X171.3	X171.5	X172.2	X172.3	X172.4	X172.5	X173.2	X173.3	X173.4	X173.5	X174.2	X174.3	X174.5	X175.2	X175.3	X175.4	X175.5	X176.3.1	X176.3.2	X176.4	X177.3	X177.4	X178.4	X179.3	X179.4	X179.5	X180.2	X180.3	X180.4	X180.5	X181.2	X181.3	X181.4	X182.2	X182.3	X182.4	X182.5	CMV002	CMV003	CMV004	CMV005	CMV006	CMV007	CMV008	CMV009	CMV016.1	CMV016.2	CMV017.1	CMV017.2	CMV018.1	CMV018.2	CMV020.1	CMV020.2	CMV021.1	CMV022.2	CMV023.1	CMV024.2	CMV025.1	CMV025.2	CMV026.1	CMV026.2	CMV027.1	CMV027.2	CMV028	CMV030	CMV031	CMV035.1	CMV038.1	CMV039.1	CMV039.2	CMV040.1	CMV040.2	CMV041.1	CMV041.2	CMV042.1	CMV042.2	CMV043.1	CMV043.2	CMV044.1	CMV044.2	CMV047	CMV048	CMV050	CMV051.1	CMV051.2	CMV051	CMV052.1	CMV052.2	CMV053.1	CMV053.2	CMV053	CMV054.2	CMV055.1	CMV056	CMV057	CMV058.1	CMV059.1	CMV060.1	CMV061	CMV062	CMV066.1	CMV067.1	CMV067.2	CMV068	CMV070.1	CMV072.1	CMV074	CMV075.2	CMV076.1	CMV076.2	CMV077.1	CMV077.2	CMV079.2	CMV080.1	CMV080.2	CMV081.1	CMV081.2	CMV082.2	CMV083.1	CMV083.2	CMV084.1	CMV085.1	CMV085.2	CMV088.1	CMV088.2	CMV089.1	CMV089.2	CMV090.1	CMV090.2	CMV091.1	CMV092.1	CMV093.1	CMV094.1	CMV094.2	CMV095.1	CMV096.1	CMV097.1	CMV097.2	CMV098.1
k__Archaea	2.98308	0.00796	0	0.5243	0.03112	0.01552	0.21136	0.18012	0	0	0	0	0	0	28.45207	0.3072	0	7.05928	0	0	1.33315	0.1638	0	0	0	0	0	0.00739	0	0	0	0.01372	0	42.20032	0.91921	2.86935	0	0	0.00651	0.20384	0.12645	1.33387	0	0	0	0	0	0	0	86.24862	36.35674	9.47184	0.02597	25.07064	0	28.12001	1.8	0	0	0	1.35763	0	0.03533	1.26384	8.32352	13.98869	2.07211	0	0	0	0	0	0	0	2.07101	0	0	0	1.06556	11.10565	21.25833	4.50508	0	0	0	0	0.03984	0	2.16451	7.12806	14.15031	0.88021	0.98934	3.56908	0.19032	0	0	0	4.90885	0	0.24851	2.47723	0	18.99979	0.14757	0	0	0	0	0	0	0	0	0	12.69857	3.53959	0	0	5.02079	0.91852	0.93701	0.01198	4.34463	0.36201	1.72218	1.14085	0.65324	3.56569	2.84684	0.70848	0	2.6364	15.69103	10.63937	0.02907	0	0	2.39052	30.87221	17.97936	0.07093	1.89677	12.09966	11.94599	14.43699	0	1.61387	0.15383	13.63606	0	0.02528	0.09767	1.9223	10.32683	6.53013	0.18929	20.97785	0	0	0	8.87904	0	2.07746	0.64778	0	0.02491	0	15.80801	0	17.16524	8.74095	0.16013	0.44295	0	0	0.03464	0	7.83851	0	9.08977	0.08524	0	3.21086	0	0	0	0	0	0	24.36914	16.33155	0	0	0	0	0	0	0.99444	0	0	0	6.55263	0	3.60148
k__Archaea|p__Euryarchaeota	2.98308	0.00796	0	0.5243	0.03112	0.01552	0.21136	0.18012	0	0	0	0	0	0	28.45207	0.3072	0	7.05928	0	0	1.33315	0.1638	0	0	0	0	0	0.00739	0	0	0	0.01372	0	42.20032	0.91921	2.86935	0	0	0.00651	0.20384	0.12645	1.33387	0	0	0	0	0	0	0	86.24862	36.35674	9.47184	0.02597	25.07064	0	28.12001	1.8	0	0	0	1.35763	0	0.03533	1.26384	8.32352	13.98869	2.07211	0	0	0	0	0	0	0	2.07101	0	0	0	1.06556	11.10565	21.25833	4.50508	0	0	0	0	0.03984	0	2.16451	7.12806	14.15031	0.88021	0.98934	3.56908	0.19032	0	0	0	4.90885	0	0.24851	2.47723	0	18.99979	0.14757	0	0	0	0	0	0	0	0	0	12.69857	3.53959	0	0	5.02079	0.91852	0.93701	0.01198	4.34463	0.36201	1.72218	1.14085	0.65324	3.56569	2.84684	0.70848	0	2.6364	15.69103	10.63937	0.02907	0	0	2.39052	30.87221	17.97936	0.07093	1.89677	12.09966	11.94599	14.43699	0	1.61387	0.15383	13.63606	0	0.02528	0.09767	1.9223	10.32683	6.53013	0.18929	20.97785	0	0	0	8.87904	0	2.07746	0.64778	0	0.02491	0	15.80801	0	17.16524	8.74095	0.16013	0.44295	0	0	0.03464	0	7.83851	0	9.08977	0.08524	0	3.21086	0	0	0	0	0	0	24.36914	16.33155	0	0	0	0	0	0	0.99444	0	0	0	6.55263	0	3.60148
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2.98308	0.00796	0	0.5243	0.03112	0.01552	0.21136	0.18012	0	0	0	0	0	0	28.45207	0.3072	0	7.05928	0	0	1.33315	0.1638	0	0	0	0	0	0.00739	0	0	0	0.01372	0	42.20032	0.91921	2.86935	0	0	0.00651	0.20384	0.12645	1.33387	0	0	0	0	0	0	0	86.24862	36.35674	9.47184	0.02597	25.07064	0	28.12001	1.8	0	0	0	1.35763	0	0.03533	1.26384	8.32352	13.98869	2.07211	0	0	0	0	0	0	0	2.07101	0	0	0	1.06556	11.10565	21.25833	4.50508	0	0	0	0	0.03984	0	2.16451	7.12806	14.15031	0.88021	0.98934	3.56908	0.19032	0	0	0	4.90885	0	0.24851	2.47723	0	18.99979	0.14757	0	0	0	0	0	0	0	0	0	12.69857	3.53959	0	0	5.02079	0.91852	0.93701	0.01198	4.34463	0.36201	1.72218	1.14085	0.65324	3.56569	2.84684	0.70848	0	2.6364	15.69103	10.63937	0.02907	0	0	2.39052	30.87221	17.97936	0.07093	1.89677	12.09966	11.94599	14.43699	0	1.61387	0.15383	13.63606	0	0.02528	0.09767	1.9223	10.32683	6.53013	0.18929	20.97785	0	0	0	8.87904	0	2.07746	0.64778	0	0.02491	0	15.80801	0	17.16524	8.74095	0.16013	0.44295	0	0	0.03464	0	7.83851	0	9.08977	0.08524	0	3.21086	0	0	0	0	0	0	24.36914	16.33155	0	0	0	0	0	0	0.99444	0	0	0	6.55263	0	3.60148
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2.98308	0.00796	0	0.5243	0.03112	0.01552	0.21136	0.18012	0	0	0	0	0	0	28.45207	0.3072	0	7.05928	0	0	1.33315	0.1638	0	0	0	0	0	0.00739	0	0	0	0.01372	0	42.20032	0.91921	2.86935	0	0	0.00651	0.20384	0.12645	1.33387	0	0	0	0	0	0	0	86.24862	36.35674	9.47184	0.02597	25.07064	0	28.12001	1.8	0	0	0	1.35763	0	0.03533	1.26384	8.32352	13.98869	2.07211	0	0	0	0	0	0	0	2.07101	0	0	0	1.06556	11.10565	21.25833	4.50508	0	0	0	0	0.03984	0	2.16451	7.12806	14.15031	0.88021	0.98934	3.56908	0.19032	0	0	0	4.90885	0	0.24851	2.47723	0	18.99979	0.14757	0	0	0	0	0	0	0	0	0	12.69857	3.53959	0	0	5.02079	0.91852	0.93701	0.01198	4.34463	0.36201	1.72218	1.14085	0.65324	3.56569	2.84684	0.70848	0	2.6364	15.69103	10.63937	0.02907	0	0	2.39052	30.87221	17.97936	0.07093	1.89677	12.09966	11.94599	14.43699	0	1.61387	0.15383	13.63606	0	0.02528	0.09767	1.9223	10.32683	6.53013	0.18929	20.97785	0	0	0	8.87904	0	2.07746	0.64778	0	0.02491	0	15.80801	0	17.16524	8.74095	0.16013	0.44295	0	0	0.03464	0	7.83851	0	9.08977	0.08524	0	3.21086	0	0	0	0	0	0	24.36914	16.33155	0	0	0	0	0	0	0.99444	0	0	0	6.55263	0	3.60148
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2.98308	0.00796	0	0.5243	0.03112	0.01552	0.21136	0.18012	0	0	0	0	0	0	28.45207	0.3072	0	7.05928	0	0	1.33315	0.1638	0	0	0	0	0	0.00739	0	0	0	0.01372	0	42.20032	0.91921	2.86935	0	0	0.00651	0.20384	0.12645	1.33387	0	0	0	0	0	0	0	86.24862	36.35674	9.47184	0.02597	25.07064	0	28.12001	1.8	0	0	0	1.35763	0	0.03533	1.26384	8.32352	13.98869	2.07211	0	0	0	0	0	0	0	2.07101	0	0	0	1.06556	11.10565	21.25833	4.50508	0	0	0	0	0.03984	0	2.16451	7.12806	14.15031	0.88021	0.98934	3.56908	0.19032	0	0	0	4.90885	0	0.24851	2.47723	0	18.99979	0.14757	0	0	0	0	0	0	0	0	0	12.69857	3.53959	0	0	5.02079	0.91852	0.93701	0.01198	4.34463	0.36201	1.72218	1.14085	0.65324	3.56569	2.84684	0.70848	0	2.6364	15.69103	10.63937	0.02907	0	0	2.39052	30.87221	17.97936	0.07093	1.89677	12.09966	11.94599	14.43699	0	1.61387	0.15383	13.63606	0	0.02528	0.09767	1.9223	10.32683	6.53013	0.18929	20.97785	0	0	0	8.87904	0	2.07746	0.64778	0	0.02491	0	15.80801	0	17.16524	8.74095	0.16013	0.44295	0	0	0.03464	0	7.83851	0	9.08977	0.08524	0	3.21086	0	0	0	0	0	0	24.36914	16.33155	0	0	0	0	0	0	0.99444	0	0	0	6.55263	0	3.60148
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	2.98308	0.00796	0	0.5243	0	0.01552	0.21136	0.18012	0	0	0	0	0	0	28.45207	0.3072	0	7.05928	0	0	1.33315	0.08815	0	0	0	0	0	0.00739	0	0	0	0.01372	0	42.17307	0.91921	2.85104	0	0	0.00651	0.20384	0.12645	1.33387	0	0	0	0	0	0	0	86.23798	36.30778	9.44787	0.02597	25.06637	0	27.78084	1.8	0	0	0	0.2766	0	0.03533	1.26384	8.27894	13.98869	2.07211	0	0	0	0	0	0	0	2.07101	0	0	0	1.06556	11.10565	21.22491	4.50508	0	0	0	0	0.03984	0	1.94803	7.12806	14.15031	0.54937	0.50838	3.5659	0.19032	0	0	0	4.90885	0	0.24851	2.47723	0	18.82885	0.14757	0	0	0	0	0	0	0	0	0	12.68118	3.50184	0	0	5.02079	0.91852	0.16157	0.01198	4.34463	0.36201	1.72218	1.11932	0.46058	3.43587	2.35713	0.60426	0	2.6364	15.69103	10.6164	0.02907	0	0	2.39052	30.87221	17.93452	0.07093	1.89677	12.08929	11.94599	14.43043	0	1.61387	0.15383	13.57925	0	0.02528	0.09767	1.9223	10.32683	6.53013	0.16287	20.96372	0	0	0	8.85094	0	2.07746	0.64778	0	0.02491	0	15.80801	0	17.16524	8.65853	0.16013	0.44295	0	0	0.03092	0	7.83016	0	9.026	0.08524	0	3.15592	0	0	0	0	0	0	24.35686	16.33155	0	0	0	0	0	0	0.99444	0	0	0	6.55263	0	3.60148
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	2.98308	0	0	0.5243	0	0	0.21136	0.17009	0	0	0	0	0	0	28.45207	0.3072	0	6.948	0	0	1.33315	0	0	0	0	0	0	0	0	0	0	0.01372	0	42.17307	0.91921	2.85104	0	0	0.00102	0.20384	0.10541	1.33387	0	0	0	0	0	0	0	86.23798	36.30778	9.44787	0	25.06637	0	27.78084	1.52038	0	0	0	0.19897	0	0.03533	1.06803	8.27894	13.98869	1.82714	0	0	0	0	0	0	0	2.07101	0	0	0	1.06556	11.10565	21.22491	4.50453	0	0	0	0	0.03984	0	1.94803	7.12806	14.15031	0.30296	0.50838	3.28711	0.19032	0	0	0	4.90885	0	0.24851	2.47723	0	13.80677	0.10998	0	0	0	0	0	0	0	0	0	12.68118	3.50184	0	0	5.02079	0.91852	0.08956	0.01198	4.34463	0.36201	1.72218	0.85101	0.46058	3.10588	1.23725	0.38536	0	2.6364	15.69103	10.6164	0.02907	0	0	2.39052	30.87221	17.93452	0.07093	1.89677	12.08929	11.94599	14.43043	0	1.61387	0.15383	13.57925	0	0.02528	0.06459	1.9223	10.32683	6.53013	0.16287	20.96372	0	0	0	8.85094	0	2.07746	0.64778	0	0.02491	0	15.80801	0	17.16524	8.65853	0.01088	0.39852	0	0	0.00963	0	7.58642	0	9.026	0.04981	0	3.15592	0	0	0	0	0	0	24.35686	16.33155	0	0	0	0	0	0	0.9693	0	0	0	6.55263	0	3.02207
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii|t__Methanobrevibacter_smithii_unclassified	2.98308	0	0	0.5243	0	0	0.21136	0.17009	0	0	0	0	0	0	28.45207	0.3072	0	6.948	0	0	1.33315	0	0	0	0	0	0	0	0	0	0	0.01372	0	42.17307	0.91921	2.85104	0	0	0.00102	0.20384	0.10541	1.33387	0	0	0	0	0	0	0	86.23798	36.30778	9.44787	0	25.06637	0	27.78084	1.52038	0	0	0	0.19897	0	0.03533	1.06803	8.27894	13.98869	1.82714	0	0	0	0	0	0	0	2.07101	0	0	0	1.06556	11.10565	21.22491	4.50453	0	0	0	0	0.03984	0	1.94803	7.12806	14.15031	0.30296	0.50838	3.28711	0.19032	0	0	0	4.90885	0	0.24851	2.47723	0	13.80677	0.10998	0	0	0	0	0	0	0	0	0	12.68118	3.50184	0	0	5.02079	0.91852	0.08956	0.01198	4.34463	0.36201	1.72218	0.85101	0.46058	3.10588	1.23725	0.38536	0	2.6364	15.69103	10.6164	0.02907	0	0	2.39052	30.87221	17.93452	0.07093	1.89677	12.08929	11.94599	14.43043	0	1.61387	0.15383	13.57925	0	0.02528	0.06459	1.9223	10.32683	6.53013	0.16287	20.96372	0	0	0	8.85094	0	2.07746	0.64778	0	0.02491	0	15.80801	0	17.16524	8.65853	0.01088	0.39852	0	0	0.00963	0	7.58642	0	9.026	0.04981	0	3.15592	0	0	0	0	0	0	24.35686	16.33155	0	0	0	0	0	0	0.9693	0	0	0	6.55263	0	3.02207
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_sp_AbM4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_sp_AbM4|t__GCF_000404165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
