OTUID	JF1	JF10	JF101	JF102	JF103	JF104	JF105	JF106	JF107	JF108	JF109	JF11	JF110	JF111	JF112	JF113	JF114	JF115	JF116	JF117	JF118	JF119	JF12	JF120	JF121	JF122	JF123	JF124	JF125	JF126	JF127	JF128	JF129	JF13	JF130	JF131	JF132	JF14	JF15	JF16	JF17	JF18	JF19	JF2	JF20	JF21	JF22	JF23	JF24	JF25	JF26	JF27	JF28	JF29	JF3	JF30	JF301	JF302	JF303	JF304	JF305	JF306	JF307	JF308	JF309	JF31	JF310	JF311	JF312	JF313	JF314	JF315	JF316	JF317	JF318	JF319	JF32	JF320	JF321	JF322	JF4	JF401	JF402	JF403	JF404	JF405	JF406	JF407	JF408	JF409	JF410	JF411	JF412	JF413	JF414	JF415	JF416	JF417	JF418	JF5	JF7	JF8	JF9
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanobacteria	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	644.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	323.0	0.0	0.0	0.0	0.0	0.0	374.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	831.0	0.0	0.0	0.0	178.0	0.0	77.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	604.0	413.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria	27.0	28.0	27.0	4.0	25.0	19.0	23.0	56.0	17.0	21.0	48.0	26.0	12.0	26.0	15.0	38.0	31.0	47.0	8.0	45.0	42.0	5.0	10.0	42.0	98.0	111.0	107.0	11.0	95.0	27.0	46.0	35.0	18.0	3100.0	62.0	40.0	151.0	15.0	34.0	17.0	278.0	41.0	70.0	20.0	13.0	149.0	24.0	8.0	16.0	22.0	3.0	47.0	4.0	56.0	17.0	10.0	36.0	651.0	9.0	756.0	0.0	1119.0	13.0	2238.0	2.0	0.0	498.0	11.0	1019.0	15.0	284.0	10.0	870.0	18.0	235.0	4.0	12.0	1294.0	17.0	1456.0	38.0	37.0	794.0	65.0	782.0	27.0	1688.0	65.0	224.0	66.0	1262.0	18.0	1201.0	33.0	108.0	124.0	45.0	33.0	444.0	162.0	535.0	7.0	79.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia	143.0	144.0	239.0	113.0	66.0	61.0	91.0	50.0	43.0	62.0	103.0	179.0	189.0	72.0	95.0	85.0	134.0	62.0	34.0	99.0	216.0	55.0	176.0	100.0	94.0	64.0	87.0	67.0	47.0	46.0	76.0	125.0	165.0	132.0	127.0	146.0	93.0	176.0	86.0	256.0	123.0	450.0	65.0	78.0	63.0	1001.0	82.0	138.0	328.0	27.0	38.0	242.0	237.0	102.0	51.0	43.0	129.0	295.0	56.0	259.0	67.0	334.0	52.0	342.0	177.0	126.0	91.0	123.0	224.0	18.0	102.0	98.0	300.0	59.0	118.0	115.0	169.0	514.0	76.0	220.0	117.0	34.0	262.0	91.0	184.0	78.0	218.0	65.0	317.0	138.0	153.0	159.0	475.0	92.0	72.0	98.0	34.0	58.0	138.0	302.0	541.0	60.0	162.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia	31397.0	2292.0	20079.0	6728.0	15764.0	17344.0	11754.0	14683.0	13554.0	18338.0	19193.0	17406.0	4104.0	7257.0	11739.0	16042.0	9483.0	14687.0	12332.0	17337.0	7175.0	7892.0	13632.0	15275.0	7775.0	17632.0	6995.0	14087.0	23183.0	20076.0	14101.0	7915.0	12273.0	22786.0	13014.0	16317.0	21954.0	11321.0	7187.0	17544.0	12316.0	18107.0	18870.0	15317.0	8004.0	27995.0	16560.0	15207.0	1085.0	20883.0	14434.0	16110.0	7164.0	15038.0	17351.0	12723.0	17422.0	4231.0	6736.0	9901.0	17492.0	20099.0	17727.0	14340.0	7255.0	20615.0	7324.0	13829.0	9625.0	17542.0	11904.0	13606.0	9313.0	13710.0	9406.0	22214.0	8845.0	2115.0	13609.0	8028.0	21346.0	4261.0	12869.0	22916.0	12140.0	10931.0	6922.0	21334.0	7201.0	18738.0	1327.0	7633.0	3584.0	17183.0	4787.0	19813.0	6181.0	22118.0	3513.0	10557.0	16957.0	23811.0	31959.0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Melainabacteria	18.0	3.0	62.0	28.0	0.0	105.0	4.0	0.0	0.0	15.0	77.0	0.0	0.0	8.0	2.0	21.0	0.0	40.0	0.0	9.0	0.0	6.0	2.0	27.0	18.0	0.0	4.0	34.0	6.0	11.0	10.0	0.0	0.0	5.0	2.0	15.0	5.0	0.0	0.0	13.0	5.0	0.0	5.0	2.0	57.0	0.0	0.0	16.0	0.0	49.0	11.0	7.0	0.0	0.0	7.0	12.0	8.0	0.0	2.0	5.0	22.0	27.0	4.0	12.0	4.0	0.0	3.0	0.0	3.0	0.0	59.0	3.0	0.0	0.0	85.0	3.0	6.0	0.0	0.0	23.0	0.0	12.0	25.0	4.0	37.0	12.0	2.0	3.0	6.0	49.0	10.0	6.0	0.0	14.0	0.0	39.0	2.0	108.0	0.0	0.0	0.0	4.0	35.0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Cyanobacteria;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Deferribacteres;D_2__Deferribacteres	8.0	0.0	99.0	0.0	0.0	0.0	9.0	7.0	0.0	0.0	4.0	3.0	0.0	0.0	4.0	4.0	0.0	0.0	3.0	7.0	0.0	0.0	0.0	2.0	0.0	0.0	5.0	6.0	0.0	0.0	25.0	2.0	0.0	8.0	12.0	8.0	35.0	0.0	3.0	0.0	0.0	0.0	11.0	4.0	0.0	0.0	0.0	0.0	0.0	9.0	6.0	5.0	0.0	4.0	12.0	0.0	20.0	14.0	0.0	0.0	11.0	0.0	4.0	10.0	0.0	0.0	15.0	14.0	3.0	2.0	63.0	16.0	0.0	4.0	43.0	0.0	0.0	2.0	0.0	15.0	0.0	0.0	0.0	0.0	120.0	0.0	0.0	0.0	0.0	7.0	0.0	190.0	0.0	4.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	5.0	0.0
D_0__Bacteria;D_1__Deinococcus-Thermus;D_2__Deinococci	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Epsilonbacteraeota;D_2__Campylobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
