OTUID	JF1	JF10	JF101	JF102	JF103	JF104	JF105	JF106	JF107	JF108	JF109	JF11	JF110	JF111	JF112	JF113	JF114	JF115	JF116	JF117	JF118	JF119	JF12	JF120	JF121	JF122	JF123	JF124	JF125	JF126	JF127	JF128	JF129	JF13	JF130	JF131	JF132	JF14	JF15	JF16	JF17	JF18	JF19	JF2	JF20	JF21	JF22	JF23	JF24	JF25	JF26	JF27	JF28	JF29	JF3	JF30	JF301	JF302	JF303	JF304	JF305	JF306	JF307	JF308	JF309	JF31	JF310	JF311	JF312	JF313	JF314	JF315	JF316	JF317	JF318	JF319	JF32	JF320	JF321	JF322	JF4	JF401	JF402	JF403	JF404	JF405	JF406	JF407	JF408	JF409	JF410	JF411	JF412	JF413	JF414	JF415	JF416	JF417	JF418	JF5	JF7	JF8	JF9	taxonomy
08fb02217e8214fbd43bee6d5ff0649d	888.0	549.0	157.0	1734.0	93.0	196.0	47.0	0.0	0.0	0.0	70.0	1795.0	14.0	107.0	0.0	10.0	29.0	516.0	5.0	20.0	0.0	63.0	1036.0	447.0	376.0	694.0	77.0	0.0	0.0	471.0	562.0	409.0	79.0	4412.0	263.0	64.0	383.0	519.0	2941.0	491.0	2984.0	1031.0	7121.0	7950.0	1903.0	1423.0	1618.0	5108.0	3617.0	4850.0	1621.0	2062.0	2482.0	4185.0	4763.0	354.0	1256.0	4118.0	46.0	9940.0	267.0	577.0	275.0	2663.0	0.0	2122.0	6995.0	32.0	8667.0	32.0	3150.0	0.0	3672.0	0.0	1477.0	157.0	1122.0	3220.0	666.0	1134.0	2390.0	56.0	1455.0	32.0	1666.0	1229.0	1016.0	180.0	297.0	63.0	443.0	18.0	236.0	64.0	378.0	145.0	727.0	413.0	378.0	2761.0	2314.0	584.0	1601.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Lactobacillales; D_4__Lactobacillaceae; D_5__Lactobacillus
e5c1df62a0dd20cc5db79c950c84fab8	29.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	32.0	10.0	0.0	0.0	25.0	0.0	14.0	0.0	14.0	0.0	0.0	46.0	0.0	16.0	35.0	20.0	0.0	0.0	0.0	24.0	0.0	0.0	6266.0	0.0	0.0	21.0	0.0	0.0	0.0	1881.0	12.0	0.0	38.0	10.0	73.0	0.0	0.0	0.0	0.0	0.0	66.0	0.0	0.0	17.0	0.0	0.0	20335.0	0.0	11081.0	0.0	5267.0	0.0	5620.0	9.0	17.0	8792.0	56.0	9571.0	0.0	1255.0	0.0	11461.0	0.0	6618.0	0.0	0.0	11944.0	0.0	12472.0	35.0	0.0	3146.0	31.0	3171.0	0.0	19.0	36.0	0.0	21.0	862.0	0.0	2034.0	0.0	172.0	23.0	3750.0	0.0	927.0	1310.0	11963.0	0.0	23.0	D_0__Bacteria; D_1__Firmicutes; D_2__Erysipelotrichia; D_3__Erysipelotrichales; D_4__Erysipelotrichaceae; D_5__Allobaculum; D_6__uncultured bacterium
043e76555a300f662c0a0cd82f55ff62	385.0	2197.0	507.0	2387.0	2112.0	1808.0	1560.0	1651.0	4558.0	1927.0	1168.0	1169.0	1197.0	2392.0	1926.0	1075.0	2772.0	849.0	1574.0	1098.0	1316.0	1590.0	808.0	1798.0	3121.0	642.0	897.0	1448.0	1886.0	1329.0	164.0	2322.0	855.0	2533.0	1047.0	430.0	2095.0	213.0	701.0	944.0	145.0	441.0	1283.0	2293.0	1909.0	576.0	636.0	772.0	1043.0	302.0	401.0	1219.0	1664.0	25.0	1377.0	577.0	1506.0	749.0	777.0	989.0	3414.0	532.0	2587.0	456.0	63.0	472.0	2094.0	196.0	456.0	531.0	245.0	970.0	197.0	1279.0	310.0	2711.0	2469.0	547.0	1947.0	827.0	1089.0	813.0	1602.0	2799.0	1859.0	2450.0	1841.0	1944.0	2033.0	1619.0	3056.0	167.0	2040.0	732.0	1018.0	1881.0	996.0	968.0	1024.0	2349.0	1460.0	48.0	1691.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Lactobacillales; D_4__Lactobacillaceae; D_5__Lactobacillus
ee104d82bf9304629b100b0d64ccf64d	0.0	2761.0	910.0	200.0	1893.0	2175.0	362.0	0.0	73.0	1551.0	0.0	0.0	4413.0	0.0	6.0	0.0	0.0	5780.0	1213.0	8849.0	105.0	3502.0	379.0	242.0	0.0	0.0	2327.0	0.0	0.0	0.0	1029.0	338.0	2695.0	0.0	0.0	0.0	0.0	0.0	0.0	2378.0	0.0	3482.0	2330.0	575.0	2165.0	0.0	6722.0	0.0	274.0	4227.0	445.0	0.0	0.0	0.0	2750.0	0.0	1267.0	300.0	0.0	0.0	995.0	1479.0	0.0	0.0	4107.0	0.0	0.0	54.0	866.0	0.0	0.0	0.0	84.0	2689.0	0.0	0.0	15.0	0.0	7.0	168.0	5417.0	606.0	3817.0	2082.0	0.0	0.0	2429.0	4069.0	2310.0	7075.0	2205.0	586.0	0.0	0.0	114.0	0.0	21.0	0.0	447.0	0.0	0.0	0.0	3872.0	D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Ruminococcaceae; D_5__Ruminococcus 1
eb12f674a10c2c894ddb9383a47d9c65	10.0	0.0	1411.0	481.0	1805.0	3339.0	1401.0	1980.0	2668.0	4802.0	3793.0	0.0	329.0	317.0	1534.0	1083.0	557.0	2805.0	1682.0	2694.0	224.0	557.0	1699.0	1343.0	2853.0	5171.0	615.0	1342.0	5295.0	3932.0	3351.0	163.0	1013.0	0.0	899.0	1080.0	7027.0	270.0	0.0	0.0	808.0	0.0	1773.0	1694.0	0.0	1568.0	0.0	0.0	0.0	3391.0	0.0	0.0	550.0	0.0	0.0	0.0	1431.0	206.0	698.0	4.0	922.0	445.0	2839.0	2.0	734.0	0.0	225.0	650.0	50.0	4613.0	558.0	1744.0	24.0	1229.0	14.0	3379.0	0.0	0.0	4291.0	0.0	2466.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	440.0	0.0	2483.0	4137.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Prevotellaceae; D_5__Prevotellaceae NK3B31 group
706318f712dc8c459f71f4dbae4c75a2	0.0	0.0	3793.0	985.0	2061.0	0.0	0.0	2081.0	1784.0	50.0	2997.0	1705.0	148.0	1687.0	2538.0	3491.0	1521.0	2248.0	2739.0	0.0	1224.0	1117.0	0.0	2891.0	1001.0	2670.0	1324.0	626.0	888.0	2219.0	1346.0	1872.0	2567.0	0.0	1781.0	3819.0	557.0	0.0	0.0	4157.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3728.0	136.0	1751.0	117.0	3383.0	0.0	2878.0	0.0	1681.0	0.0	0.0	3376.0	87.0	2547.0	479.0	2926.0	0.0	3188.0	0.0	4903.0	0.0	0.0	2032.0	0.0	3885.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3995.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Muribaculaceae
2487db5ac9b1dd5025140eac03450c9e	42.0	186.0	481.0	2294.0	3938.0	2211.0	1097.0	2489.0	1305.0	1945.0	1076.0	719.0	861.0	645.0	1163.0	1082.0	637.0	935.0	1560.0	1450.0	1151.0	1162.0	464.0	1038.0	3015.0	528.0	595.0	2089.0	1012.0	1025.0	0.0	122.0	519.0	619.0	685.0	809.0	970.0	57.0	476.0	569.0	295.0	155.0	147.0	791.0	189.0	157.0	815.0	1314.0	896.0	427.0	534.0	1182.0	474.0	973.0	416.0	426.0	812.0	30.0	357.0	304.0	1023.0	224.0	2018.0	794.0	21.0	97.0	1796.0	392.0	299.0	663.0	41.0	472.0	414.0	1703.0	133.0	2416.0	1612.0	205.0	1685.0	245.0	510.0	649.0	805.0	5206.0	552.0	2067.0	3215.0	1671.0	505.0	2382.0	439.0	194.0	447.0	1613.0	46.0	2012.0	536.0	1215.0	465.0	860.0	345.0	1106.0	964.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Lactobacillales; D_4__Lactobacillaceae; D_5__Lactobacillus
1d436992a3f71c9a2e524f1f0f99a85a	88.0	26.0	4510.0	722.0	1512.0	112.0	0.0	1136.0	2223.0	340.0	329.0	6.0	634.0	5446.0	3275.0	6486.0	539.0	0.0	35.0	2915.0	3131.0	1613.0	18.0	1558.0	8820.0	6.0	4051.0	4.0	576.0	312.0	1968.0	809.0	61.0	0.0	68.0	2111.0	732.0	19.0	0.0	0.0	7.0	139.0	2.0	2365.0	0.0	22.0	13.0	758.0	57.0	188.0	198.0	4.0	69.0	0.0	0.0	0.0	272.0	4.0	6.0	296.0	74.0	184.0	48.0	6.0	4235.0	31.0	0.0	1190.0	0.0	0.0	2379.0	67.0	6.0	11.0	3590.0	22.0	23.0	0.0	21.0	6.0	17.0	0.0	156.0	5.0	2118.0	13.0	0.0	246.0	4030.0	1032.0	0.0	37.0	850.0	0.0	985.0	689.0	46.0	140.0	67.0	41.0	6.0	56.0	539.0	D_0__Bacteria; D_1__Verrucomicrobia; D_2__Verrucomicrobiae; D_3__Verrucomicrobiales; D_4__Akkermansiaceae; D_5__Akkermansia
716f890733a782920fbc882f4e940c44	2103.0	79.0	1666.0	895.0	1377.0	2510.0	2055.0	702.0	663.0	2815.0	1281.0	200.0	166.0	416.0	1074.0	1902.0	572.0	868.0	148.0	621.0	296.0	709.0	519.0	1629.0	295.0	129.0	119.0	777.0	0.0	1364.0	744.0	1490.0	430.0	2837.0	1104.0	1883.0	1258.0	1316.0	1269.0	661.0	637.0	1374.0	299.0	745.0	318.0	5813.0	1374.0	989.0	154.0	872.0	456.0	2395.0	668.0	983.0	1163.0	662.0	0.0	0.0	0.0	0.0	1726.0	43.0	419.0	183.0	552.0	727.0	12.0	1801.0	88.0	0.0	145.0	809.0	0.0	0.0	0.0	1814.0	394.0	0.0	0.0	0.0	1568.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1479.0	2404.0	559.0	4713.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Muribaculaceae
aec70b1c568723f42ad8046aa6bb5f65	750.0	269.0	2100.0	278.0	754.0	1532.0	1012.0	379.0	495.0	17.0	0.0	696.0	141.0	355.0	337.0	816.0	475.0	856.0	107.0	151.0	306.0	365.0	465.0	182.0	442.0	1088.0	567.0	494.0	611.0	0.0	975.0	651.0	1611.0	763.0	380.0	1125.0	618.0	383.0	210.0	522.0	307.0	723.0	435.0	266.0	400.0	185.0	272.0	1088.0	113.0	290.0	146.0	382.0	206.0	203.0	586.0	239.0	1162.0	87.0	220.0	1280.0	608.0	444.0	620.0	631.0	728.0	717.0	398.0	460.0	753.0	920.0	214.0	256.0	1834.0	607.0	494.0	163.0	598.0	64.0	518.0	187.0	679.0	783.0	257.0	3605.0	638.0	1403.0	251.0	2216.0	1189.0	1513.0	186.0	553.0	122.0	1551.0	107.0	1428.0	363.0	1311.0	100.0	430.0	568.0	192.0	457.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Muribaculaceae
