"","JF1","JF10","JF101","JF102","JF103","JF104","JF105","JF106","JF107","JF108","JF109","JF11","JF110","JF111","JF112","JF113","JF114","JF115","JF116","JF117","JF118","JF119","JF12","JF120","JF121","JF122","JF123","JF124","JF125","JF126","JF127","JF128","JF129","JF13","JF130","JF131","JF132","JF14","JF15","JF16","JF17","JF18","JF19","JF2","JF20","JF21","JF22","JF23","JF24","JF25","JF26","JF27","JF28","JF29","JF3","JF30","JF301","JF302","JF303","JF304","JF305","JF306","JF307","JF308","JF309","JF31","JF310","JF311","JF312","JF313","JF314","JF315","JF316","JF317","JF318","JF319","JF32","JF320","JF321","JF322","JF4","JF401","JF402","JF403","JF404","JF405","JF406","JF407","JF408","JF409","JF410","JF411","JF412","JF413","JF414","JF415","JF416","JF417","JF418","JF5","JF7","JF8","JF9"
"D_0__Bacteria;D_1__Firmicutes",9165.09852778391,31347.22715934,13769.2890486918,26559.2813314246,18406.4226237389,21335.4607972081,21889.0202048958,18803.8876993251,17080.984810612,21590.4996956883,14558.0435091523,21506.8723074716,30423.2936780826,19742.1241066654,21145.7590434344,16797.5029650621,23219.6984052444,21795.355859047,22731.703016029,19476.5174567168,20877.7710430452,21807.5904081689,23185.0060445235,19743.734458054,20600.241077479,10582.477826839,20178.500921346,21366.3302712786,13915.6943318671,17471.5328772378,17207.8517596059,21706.0935985581,20477.3964135049,17723.1618929717,22179.9309277712,17410.6003604848,16952.3966683315,22026.1618626806,26911.2757178518,21774.2554472844,22565.9412812961,20937.5730603674,18660.7594054987,22287.1645228104,26609.7423767572,11853.2361606695,20604.0868991908,20472.6140120768,32058.0567025498,20356.1381453897,15094.6070569597,18875.8404873646,26553.6065987064,20375.4524253619,20239.1547239442,19035.2264855822,19913.839188508,32665.411101291,20430.7630414868,25916.4250947234,20548.6269114019,18579.3614426444,19407.0425495693,22662.4407476858,23236.014363369,16855.0297776835,30045.6948221955,17215.5439767257,24279.2717713564,19971.4418942653,19772.7067109911,20452.3273425742,25573.8266795439,19906.5196451232,17997.8084972173,18725.8293400304,25725.7231436503,33217.8443786448,23050.1872969647,24615.3696225657,19827.4526280954,26300.7335385716,23960.5304584819,18555.0571557745,24494.0245112314,24368.1233490545,23958.3492989855,21708.095221088,23246.6071012178,20421.2587050013,29149.6613122407,20372.0835369658,25721.8890485335,20962.8045001515,24858.8062960602,17936.8068230015,27372.4697062165,17246.4532215559,28273.6541557612,23102.7507321499,21420.3878226403,19098.4020493176,12547.0003367976
"D_0__Bacteria;D_1__Bacteroidetes",27226.4735052352,4081.10449583683,17197.9071167381,8678.10425903669,16523.8522916071,14987.5347131137,13924.5301449556,16047.5142742918,16889.0916343037,14399.9484786155,21422.4127172552,13664.3531677562,5287.87045802351,9560.16246110177,11438.6463946766,13441.0186834361,12323.2818433475,14252.3771817374,13252.369006461,13881.3723801479,10260.8402790499,11074.2875941875,11093.2576041187,14742.4130540536,7651.0401441387,23338.3676101094,10189.0286540688,14984.1934849157,21309.6995637541,17873.9550572476,15911.3388630953,12201.1029637517,15368.3780457986,15938.1153561154,12685.664986113,16481.3346917695,18776.6972633343,12762.0747452484,8619.04360892161,13654.8304820974,12676.6161658659,14491.6721610058,17551.1404068066,12431.6277857206,8313.85658457197,23514.1260145934,15833.8521068541,14072.5507969829,2658.03083618115,16016.6245766991,21266.525940474,16317.3315223998,8005.97776495655,15481.3082847914,15847.0024194565,17402.1115596797,15955.6156338386,3048.7813105436,15970.9434661083,7858.34455832103,15658.9954663345,15259.3407010342,16606.904966027,10725.0387882187,8245.80728850723,19133.614475052,5501.6418040342,17172.0829236973,8741.88204396622,15701.1174521222,12547.2733454682,15404.0612135657,8081.19733532139,16672.8807095509,12219.3869441912,17259.6810488957,9020.57566721851,1915.57805815339,12878.8438200268,8281.80660198472,16045.6763012975,9989.07439235703,10271.0791269513,17773.2690930333,8524.17892347064,11778.3752522005,8955.59422440749,14346.0908074683,7770.45062135585,14559.5291687967,3031.23584055665,14356.9489093952,4987.13823910978,15475.9986992955,8347.88535526063,17637.6968377651,9152.78524501619,18832.7352433658,6417.60981128055,10816.2552432173,13072.7196799896,16840.1737222745,23122.453221296
"D_0__Bacteria;D_1__Verrucomicrobia",83.2481274167144,46.2952516979745,3862.86971943268,931.270998071416,1584.88103685041,96.7829732396641,0,1241.57026599438,2769.99046060625,266.985629988508,367.215848693636,4.71022170553473,816.888369977317,7174.40330207527,3191.20597517384,5434.38768113492,700.437510657417,0,37.6121403848634,2333.97937867747,4477.58758379166,2263.40926120432,14.647787329382,1503.67787484226,8679.37930177535,7.94182200888477,5900.75126199181,4.25475785757527,529.456366679135,277.778141953639,2220.65916478062,1247.08683482945,76.384833438745,3.49734823051774,66.2844028781068,2132.26068115005,626.060963685922,21.4185513788286,0,0,7.20496209492214,111.246613485381,1.86021625933297,1919.48813169871,0,18.4786844908396,12.4299563640763,701.452850931349,139.638486324724,144.190270575082,291.725934336557,4.05147896273118,77.1095010862649,0,0,0,249.106156147635,2.88232693031775,14.225899761973,234.932833982732,66.2454644699723,139.694446937176,44.9670806323289,4.48746392812496,4813.36924422166,28.7723525940632,0,1477.67580296477,0,0,2507.55739993858,75.8541894244379,5.20639793964655,13.3772201170722,4663.78897827414,17.0934087996626,23.456556285588,0,19.8732985686356,6.18969103287348,12.7788108836343,0,124.507603061963,3.87791697788299,1487.16729488557,14.007764914336,0,165.423190148927,4348.68990474435,801.869682047079,0,82.7598260203577,1182.77553103887,0,1717.70776580984,613.353511392528,68.1165056254238,119.205304913247,122.396771237061,42.0068641632952,4.62560111340081,39.6056330455409,389.96846854653
"D_0__Bacteria;D_1__Proteobacteria",452.661692828385,172.71690056552,931.885200608151,402.432896673521,596.426792306802,385.403625579377,669.334654747313,318.043087503841,377.556054684522,459.372333950816,268.993980350049,419.209731792591,238.366480198428,138.323971119703,237.757025325929,187.681597374996,236.511367234972,448.328335123762,386.867729672881,877.544219221442,231.673327554855,613.211312551946,465.474130689252,477.741044959512,120.05490644179,2990.09598634512,584.103000755052,256.34916091891,1287.79230853727,455.841053462381,1286.35744301316,1364.2420875452,592.295511746334,717.65585690224,593.63531401128,662.606824649186,551.652078657678,341.569529883425,189.482244359206,572.0645465311,494.054543651804,699.493094864917,713.392935454195,331.142138576353,313.691240447368,757.626064124424,321.266564486895,399.7726010585,289.076164672236,210.149649667939,284.359117812906,490.228954490473,404.545498452578,290.313135810027,372.634256650236,333.735378492639,540.340559290827,791.198742372222,317.711761350729,2258.8474510637,679.463615306878,2016.4589731801,192.983721047078,1602.7725329953,198.89955554635,524.399329536959,800.757804901756,983.461542813526,2969.06102875071,246.141107019359,1559.9768608277,549.093759266454,2441.80063369423,304.02772993346,1599.19895048899,411.795757446417,237.625113675739,360.472844985839,251.728448536051,2240.6681539002,572.791405489961,386.809968256022,1185.21660607061,251.289020166818,837.672607553581,529.06250561069,1220.04122415722,431.714179169151,349.621719388876,578.092096359522,788.075633000788,705.339426309867,1285.74657727049,334.143951430986,976.564821171078,398.813313648553,48.8661888182388,713.528896552152,675.922468025563,881.11958976668,1258.93443636392,281.482892002237,818.282630660715
"D_0__Bacteria;D_1__Tenericutes",27.7493758055715,370.362013583796,1060.36202054494,255.39010750435,15.7230261592303,190.973545410409,195.46941244833,671.059985317384,13.7066554505932,303.107215222248,84.8279772058247,162.502648840948,82.4619174740509,379.402892214043,269.912688587223,1103.4672488521,384.655850008526,242.601912945759,527.644597970513,493.218283795993,503.388958637709,1051.01893158217,1857.01392698055,492.218046321922,7.87245288142889,80.7418570903285,90.3101896429258,63.821367863629,21.1414868639238,445.157278771857,293.379767704757,110.989186783338,179.066084946566,69.9469646103548,1087.8440237054,97.9769237667242,29.9346089194089,1297.51329668588,1090.122532421,485.67112521824,971.640602515214,230.49658045892,85.5699479293168,38.146275767374,1793.85686176359,126.83097082349,179.756292034334,598.733502048263,690.84303760653,223.955101105979,67.7747120175839,867.016498024472,1618.18199381031,474.589913505044,505.065548842109,194.223048139159,307.719369358844,4.32349039547662,315.340778057067,19.8423001674604,11.6377167312113,12.1473432119283,807.53382302224,216.146179204686,513.729137754,383.321987785423,400.378902450878,121.690948479451,16.3484547315732,1120.61333086632,240.320759641025,357.760057583916,12.1482618591753,152.01386496673,7.79463338987322,414.903649955446,1048.40608093845,40.7569799607104,686.101974393373,246.556026142794,383.364326509029,103.149324868273,340.001531438436,175.281847400311,377.760153280659,153.00789367967,311.802688252269,54.4686113905003,355.017116293025,529.140749490369,927.416542024116,378.061932502089,573.298257397664,36.9269595921036,873.676741797697,409.495813121282,398.333478548674,38.3159908649724,420.168020664539,1092.17846824568,155.728570817827,457.586510365445,82.4794163530694
"D_0__Bacteria;D_1__Actinobacteria",147.418558967098,306.260895848139,227.832227354566,150.91233625257,95.3863586993304,69.1306951711887,135.05159405521,115.850746650884,74.7635751850539,65.1759037913123,168.539796816836,160.932574939103,258.981959566941,129.102373045056,107.185544204312,103.057305701449,214.419646119618,105.774434044351,45.1345684618361,115.297780627635,368.961225365139,84.1937728904274,151.360469070281,137.04894623081,188.938869154293,231.636475259139,282.583496624639,82.9677782227178,130.525701507703,64.9929627006911,137.662814076847,246.642637296307,229.154500316235,2260.68589620667,184.231649175915,187.873276501141,208.686987895307,215.312805966119,143.910565336106,212.48111728298,412.741400009111,392.964656268506,125.564597504976,79.5390430894182,78.9421664701987,965.931234748434,101.351951891699,135.108332765141,842.730513959739,37.5815066924416,60.4078954939335,292.719355057328,269.324489301302,162.657714390015,62.105709441706,72.491701066024,151.112190310146,681.670319020147,154.11391408804,805.597386798894,59.9790016147046,1103.13060543324,60.8929216896121,1929.60948909373,203.445831101695,116.945691188773,442.444978505754,166.393745880066,1128.95162396364,29.5369328423231,406.858829918577,122.27242474387,1015.24759823108,93.6405408195056,458.584264437541,92.4598021436295,184.592899464844,1637.52488375477,88.0103222325293,1728.98702851599,116.51268746843,166.445501491985,842.820697650208,120.991009709949,678.283100500217,113.139639692714,2465.95819007811,87.4187590217906,583.781945028957,158.509123195353,3232.25223390178,332.920209218257,2332.1550470837,112.582193878365,313.895835376418,197.626240245488,116.982694443663,77.4834481936108,1063.2077740294,475.394755409,829.524466336546,47.3853109652007,174.364380184998
"D_0__Bacteria;__",162.160414863808,961.516766034855,102.781455949428,277.317540976945,68.1331133566646,134.804855583818,462.018611241508,85.2486626298956,84.7320518763944,193.957207668122,330.382648064791,864.325682965623,182.96237939555,156.767167268997,894.512087086897,193.546647292964,211.820620106046,407.571213748874,306.270285991031,96.8821628884986,570.602825273994,388.69458484414,517.555152304832,159.247014986504,25.5854718646439,59.5636650666358,52.4381746313763,490.36084308555,91.0003130229763,691.774411211466,194.082000173916,391.545186707887,368.149852967066,338.543308714117,479.587150235714,290.900557163057,111.18569027209,608.737776029866,333.392809695312,290.313028375647,157.479885789012,425.778405569949,122.774273115976,198.847607723545,121.529387855437,54.5961132683897,232.344568959272,126.779736909756,585.501723361563,252.332973506394,200.377409443292,251.191695689333,362.07939640507,423.115953255039,247.509518510328,236.623854423059,147.448864484446,86.4698079095324,82.9844152781756,189.692389600922,236.335170541523,157.156252804323,163.005667292192,130.136453915624,75.0135466631947,248.741628877708,86.385691898407,136.591880946323,149.860835039421,220.184408460954,127.53864875686,307.945366021599,153.588739219573,138.636644849658,171.481934577211,366.731316065488,983.135663448122,116.83667588737,316.080081996395,127.920281346052,332.249082974492,316.480883118564,545.119826226413,405.630115886561,781.500094054598,311.403389249469,371.316894308719,489.545050522027,630.182358404641,198.91340950005,139.340909023328,694.053995488909,1207.8225422844,350.355787349471,202.28842724258,62.3145802575863,130.309836848637,160.075695169218,314.212606757829,262.286761604965,230.50912215114,519.823933722724,130.954161051803
"D_0__Archaea;D_1__Euryarchaeota",3.46867197569643,0,0,0,0,0,0,0,0,0,0,505.563796394061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.928695691446,0,0,0,0,0,291.091347486573,0,0,14.8817300746638,0,0,0,0,769.00701731392,0,0,0,180.290813841537,0,79.2698987850073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.191016397186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618.832828161715,318.395543305756,0,0
"D_0__Bacteria;D_1__Cyanobacteria",15.609023890634,5.34175981130475,53.103752240538,36.1157727783929,0,90.7340374121851,4.73865242298983,0,0,11.7787777936107,85.9441348006382,0,0,10.5389692281679,1.94882807644204,20.1087425758924,0,38.8163060713214,0,8.80746935349987,0,8.41937728904274,1.62753192548689,26.058602452337,17.713018983215,0,5.8264638479307,36.1654417893898,5.51517048624099,9.79346013298085,11.2838372194137,9.2490988986115,0,3.49734823051774,1.94954126112079,15.1510706855759,4.27637270277269,0,0,10.1181484420467,5.14640149637296,0,4.65054064833243,1.62324577733507,59.206624852649,0,0,14.8063926317963,0,37.5815066924416,16.2069963520309,7.09008818477956,0,0,6.39323479546973,16.4132153357035,7.32665165140104,0,4.74196658732432,3.96846003349209,19.6945975451269,20.498641670129,3.74725671936074,8.97492785624993,4.54627555534513,0,2.2535397886541,0,2.7247424552622,0,62.1882667492125,3.39645624288528,0,4.86444367893536,110.423973023204,2.33091938177217,6.1191016397186,0,0,27.8536096479307,0,28.1316340549834,19.9531415163402,3.1023335823064,25.9797874932795,12.9302445363101,2.58757417636738,2.01735597742594,6.47447628497919,38.073269787119,22.8427719710373,11.2854308209579,0,14.4105208164307,0,34.7181232863695,2.96158720110538,91.9583780759337,0,0,0,2.8289737889672,25.3226278276967
"D_0__Bacteria;D_1__Deferribacteres",6.93734395139287,0,84.7947011582784,0,0,0,10.6619679517271,7.65052100524704,0,0,4.46463037925393,2.35511085276736,0,0,3.89765615288408,3.35145709598207,0,0,3.22389774727401,5.60475322495446,0,0,0,1.93026684832126,0,0,7.28307980991337,6.3821367863629,0,0,28.2095930485343,3.08303296620383,0,5.59575716882838,11.6972475667247,8.08057103230715,29.9346089194089,0,3.59776413340265,0,0,0,10.2311894263314,3.24649155467013,0,0,0,0,0,6.90272571901989,8.84017982838051,5.06434870341397,0,4.11791682000038,10.9598310779481,0,18.3166291285026,10.0881442561121,0,0,9.84729877256345,0,3.74725671936074,7.47910654687494,0,0,11.2676989432705,17.3844212113502,2.7247424552622,1.79011714195898,66.4044204271252,18.1144332953882,0,4.86444367893536,55.8615392940914,0,0,1.81142133158713,0,15.4742275821837,0,0,0,0,84.2587702484742,0,0,0,0,5.43903854101701,0,357.371975996999,0,3.60263020410767,0,0,0,11.0690640276587,0,0,0,3.53621723620901,0
"D_0__Eukaryota;D_1__Excavata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.70291419196413,0,0,0,0,0,0,0,6.75593396912442,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1456296004978,0,0,0,0,0,0,0,0,5.73690293726599,0,0,5.3687866703488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07413092958765,0,0,0,0,0,0,0,0,0,0,2.3267501867298,0,10.7752037802585,5.17514835273475,4.03471195485187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D_0__Bacteria;D_1__Lentisphaerae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19681787662129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17476802679367,0,3.03683580298208,0,3.73955327343747,0,0,0,0,0,0,0,0,1.73546597988218,0,6.49552782489435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D_0__Bacteria;D_1__Deinococcus-Thermus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1485860398784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65363496230034,0,0,0,0
"D_0__Bacteria;D_1__Fusobacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7906153817134,0,0,0,0,0,2.25458435566617,0,0,0,1.60067069763139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59625132130721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D_0__Bacteria;D_1__Patescibacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6013580642727,0,0,4.88259577646068,0,0,0,0,0,0,0,0,0,0,0,0,4.04028551615357,0,5.63646088916542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D_0__Bacteria;D_1__Epsilonbacteraeota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.79919202278766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01735597742594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia",7142.86276595288,24271.175995965,11285.4038632472,15816.1287788805,11317.434229414,16064.245290405,16866.0486365265,13093.3202346942,6491.97044523551,17721.5638164137,10687.2089703391,17985.9815825844,27077.1436830809,14834.9165597998,17643.714990068,14660.1112020996,16470.0278480002,19124.79400134,18973.71287529,16946.3717151659,16543.1916861392,16152.5753290285,20604.5541766641,15543.473796107,11915.9414926528,5070.85335267293,14162.6769983575,14552.3355623718,9937.41802112522,14708.8868051797,15128.240560068,15857.5800616694,17728.7946200943,6598.79664134087,19785.8942591149,15085.4160459384,13016.4232326995,18037.8021375072,20557.6242582627,19734.2810575456,14339.9331294936,18462.1358264804,9762.41492897944,12043.6720449375,21433.8369093757,9398.0909440002,16534.7104156901,13502.5046806587,16969.7507854625,15896.9773309028,11095.8990479223,12927.2565003345,20161.3407115551,14746.2601324214,13356.3808069928,16937.0704585014,16079.252880456,5849.68250507987,16897.9979339302,2814.43185575259,15052.9389873322,3903.85242473346,13447.030737426,5940.65433018277,22484.7423278482,13360.5811481142,11291.7367010161,13910.0204578247,2256.0867529571,18665.5514392063,13381.0177352755,17155.5004828135,2549.39952444693,15751.0686323927,3738.82581600919,14216.2773094285,18668.3592525082,6551.00524568486,18668.598136356,2250.98430562166,16129.1144194201,19284.2351446911,16257.0215818533,11080.7599726029,17931.6706217128,14496.9591659597,14868.2012174069,18606.7466317919,18514.8440162788,16350.526859803,15105.925104447,18628.4844751278,16618.6919614085,17997.8398421709,19892.2766341044,12501.1950079612,15327.6945593209,14405.9610987659,18169.5266675196,14720.8444950787,5674.8416326239,17569.3417163808,8515.63798662831
"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia",27226.4735052352,4081.10449583683,17197.9071167381,8678.10425903669,16523.8522916071,14987.5347131137,13924.5301449556,16047.5142742918,16889.0916343037,14399.9484786155,21422.4127172552,13664.3531677562,5287.87045802351,9560.16246110177,11438.6463946766,13441.0186834361,12323.2818433475,14252.3771817374,13252.369006461,13881.3723801479,10260.8402790499,11074.2875941875,11093.2576041187,14742.4130540536,7651.0401441387,23338.3676101094,10189.0286540688,14984.1934849157,21309.6995637541,17873.9550572476,15911.3388630953,12201.1029637517,15368.3780457986,15938.1153561154,12685.664986113,16481.3346917695,18776.6972633343,12762.0747452484,8619.04360892161,13654.8304820974,12676.6161658659,14491.6721610058,17551.1404068066,12431.6277857206,8313.85658457197,23514.1260145934,15833.8521068541,14072.5507969829,2658.03083618115,16016.6245766991,21266.525940474,16317.3315223998,8005.97776495655,15481.3082847914,15847.0024194565,17402.1115596797,15955.6156338386,3048.7813105436,15970.9434661083,7858.34455832103,15658.9954663345,15259.3407010342,16606.904966027,10725.0387882187,8245.80728850723,19133.614475052,5501.6418040342,17172.0829236973,8741.88204396622,15701.1174521222,12547.2733454682,15404.0612135657,8081.19733532139,16672.8807095509,12219.3869441912,17259.6810488957,9020.57566721851,1915.57805815339,12878.8438200268,8281.80660198472,16045.6763012975,9989.07439235703,10271.0791269513,17773.2690930333,8524.17892347064,11778.3752522005,8955.59422440749,14346.0908074683,7770.45062135585,14559.5291687967,3031.23584055665,14356.9489093952,4987.13823910978,15475.9986992955,8347.88535526063,17637.6968377651,9152.78524501619,18832.7352433658,6417.60981128055,10816.2552432173,13072.7196799896,16840.1737222745,23122.453221296
